left_entity_type,left_entity_id,right_entity_type,right_entity_id,role,evidence_type,evidence_source,source_line,confidence,allocation_weight,included_in_direct_totals,included_in_rollup_totals,manual_override_state,reviewed_by,reviewed_at,review_method,evidence_note,source_digest,warning_state
commit,68e340f508e0f0f5b0ac2fbbcae259abf6155b6e,commit,68e340f508e0f0f5b0ac2fbbcae259abf6155b6e,identity,canonical-git-identity,68e340f508e0f0f5b0ac2fbbcae259abf6155b6e,,1.0,1.0,False,True,automatic,,,,,,
commit,b4593bad7a73d4737a89fa81f52b0a0c853f2bce,commit,b4593bad7a73d4737a89fa81f52b0a0c853f2bce,identity,canonical-git-identity,b4593bad7a73d4737a89fa81f52b0a0c853f2bce,,1.0,1.0,False,True,automatic,,,,,,
commit,f36a117c021f535e956e2d1722625465cd66b2f3,commit,f36a117c021f535e956e2d1722625465cd66b2f3,identity,canonical-git-identity,f36a117c021f535e956e2d1722625465cd66b2f3,,1.0,1.0,False,True,automatic,,,,,,
commit,2c3898c5b9fee3c3eefa3367c3219b2f4dbd2974,commit,2c3898c5b9fee3c3eefa3367c3219b2f4dbd2974,identity,canonical-git-identity,2c3898c5b9fee3c3eefa3367c3219b2f4dbd2974,,1.0,1.0,False,True,automatic,,,,,,
commit,ce82bfb0ed6ae71f4fa52b159af692e3b74fe2c7,commit,ce82bfb0ed6ae71f4fa52b159af692e3b74fe2c7,identity,canonical-git-identity,ce82bfb0ed6ae71f4fa52b159af692e3b74fe2c7,,1.0,1.0,False,True,automatic,,,,,,
commit,2aee7213d2467ac765cf2f834b3e8b0a5409064e,commit,2aee7213d2467ac765cf2f834b3e8b0a5409064e,identity,canonical-git-identity,2aee7213d2467ac765cf2f834b3e8b0a5409064e,,1.0,1.0,False,True,automatic,,,,,,
commit,a0438824397c29c96ca6c63b48ef501b5d63dffe,commit,a0438824397c29c96ca6c63b48ef501b5d63dffe,identity,canonical-git-identity,a0438824397c29c96ca6c63b48ef501b5d63dffe,,1.0,1.0,False,True,automatic,,,,,,
commit,bba775b507acd848d8bea0c67609752e0d812194,commit,bba775b507acd848d8bea0c67609752e0d812194,identity,canonical-git-identity,bba775b507acd848d8bea0c67609752e0d812194,,1.0,1.0,False,True,automatic,,,,,,
commit,da7b04f7563351b6c4c0883dbcbc16a5e081336a,commit,da7b04f7563351b6c4c0883dbcbc16a5e081336a,identity,canonical-git-identity,da7b04f7563351b6c4c0883dbcbc16a5e081336a,,1.0,1.0,False,True,automatic,,,,,,
commit,90ef077070ed157959eed236c4a5edfc023423b8,commit,90ef077070ed157959eed236c4a5edfc023423b8,identity,canonical-git-identity,90ef077070ed157959eed236c4a5edfc023423b8,,1.0,1.0,False,True,automatic,,,,,,
commit,866d179e6bed7ea2133bcda6ef1ea9f2f91c5a15,commit,866d179e6bed7ea2133bcda6ef1ea9f2f91c5a15,identity,canonical-git-identity,866d179e6bed7ea2133bcda6ef1ea9f2f91c5a15,,1.0,1.0,False,True,automatic,,,,,,
commit,1276536d7ce542d757187ed8e2a7a229c6741847,commit,1276536d7ce542d757187ed8e2a7a229c6741847,identity,canonical-git-identity,1276536d7ce542d757187ed8e2a7a229c6741847,,1.0,1.0,False,True,automatic,,,,,,
commit,bf6d257c8a9a96ec6846d3cac38bd49afd54f83a,commit,bf6d257c8a9a96ec6846d3cac38bd49afd54f83a,identity,canonical-git-identity,bf6d257c8a9a96ec6846d3cac38bd49afd54f83a,,1.0,1.0,False,True,automatic,,,,,,
commit,c0f71285faefcb501480a4ad69f63e5e7dc0df1e,commit,c0f71285faefcb501480a4ad69f63e5e7dc0df1e,identity,canonical-git-identity,c0f71285faefcb501480a4ad69f63e5e7dc0df1e,,1.0,1.0,False,True,automatic,,,,,,
commit,1c2bb82cfcda4a8e4043b7e883e42928b18064cf,commit,1c2bb82cfcda4a8e4043b7e883e42928b18064cf,identity,canonical-git-identity,1c2bb82cfcda4a8e4043b7e883e42928b18064cf,,1.0,1.0,False,True,automatic,,,,,,
commit,633671ae999d222fba32fde71594440b8b367350,commit,633671ae999d222fba32fde71594440b8b367350,identity,canonical-git-identity,633671ae999d222fba32fde71594440b8b367350,,1.0,1.0,False,True,automatic,,,,,,
