transcript_id,segment_id,entity_type,entity_id,role,allocation_weight,source_line_start,source_line_end,allocated_source_lines,allocated_assistant_processing_seconds,allocated_user_response_seconds,allocated_visible_elapsed_seconds,allocated_back_and_forth_count,allocated_turn_count,review_status,reviewed_config_entry_id,confidence,evidence_note,included_in_direct_totals,included_in_rollup_totals
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-009,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,330,356,27.779381443298966,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-010,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,357,394,39.09690721649484,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-011,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,395,410,16.46185567010309,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-012,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,411,438,28.80824742268041,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-013,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,439,463,25.72164948453608,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-014,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,464,488,25.72164948453608,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-015,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,work,1.0,489,497,9.259793814432989,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-001,plan,4,direct,1.0,13,62,51.44329896907216,,,,1.0,2.0,reviewed,,1.0,semantic match,True,False
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-002,plan,4,direct,1.0,63,86,24.692783505154637,,,,1.0,2.0,reviewed,,1.0,semantic match,True,False
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-003,plan,4,direct,1.0,87,104,18.519587628865978,,,,1.0,2.0,reviewed,,1.0,semantic match,True,False
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-004,plan,4,direct,1.0,105,127,23.663917525773194,,,,1.0,2.0,reviewed,,1.0,semantic match,True,False
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-005,plan,4,implementation,1.0,128,267,144.04123711340205,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-006,plan,4,implementation,1.0,268,309,43.212371134020614,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-007,plan,4,implementation,1.0,310,315,6.173195876288659,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-008,plan,4,implementation,1.0,316,329,14.404123711340205,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-009,plan,4,implementation,1.0,330,356,27.779381443298966,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-010,plan,4,implementation,1.0,357,394,39.09690721649484,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-011,plan,4,direct,1.0,395,410,16.46185567010309,,,,1.0,2.0,reviewed,,1.0,semantic match,True,False
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-012,plan,4,implementation,1.0,411,438,28.80824742268041,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-013,plan,4,implementation,1.0,439,463,25.72164948453608,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-014,plan,4,implementation,1.0,464,488,25.72164948453608,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan:segment-015,plan,4,implementation,1.0,489,497,9.259793814432989,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-07-1-5-AddSaveNotificationsPlan,transcript-2026-03-07-1-5-AddSaveNotificationsPlan:segment-001,commit,80b722ee0e77887149ebfd307538cac12a5907c3,work,1.0,13,34,22.39793281653747,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-07-1-5-AddSaveNotificationsPlan,transcript-2026-03-07-1-5-AddSaveNotificationsPlan:segment-002,commit,80b722ee0e77887149ebfd307538cac12a5907c3,work,1.0,35,128,95.70025839793283,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-07-1-5-AddSaveNotificationsPlan,transcript-2026-03-07-1-5-AddSaveNotificationsPlan:segment-003,commit,80b722ee0e77887149ebfd307538cac12a5907c3,work,1.0,129,172,44.79586563307494,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-07-1-5-AddSaveNotificationsPlan,transcript-2026-03-07-1-5-AddSaveNotificationsPlan:segment-004,commit,80b722ee0e77887149ebfd307538cac12a5907c3,work,1.0,173,196,24.434108527131784,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-07-1-5-AddSaveNotificationsPlan,transcript-2026-03-07-1-5-AddSaveNotificationsPlan:segment-005,commit,80b722ee0e77887149ebfd307538cac12a5907c3,work,1.0,197,210,14.253229974160208,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-07-1-5-AddSaveNotificationsPlan,transcript-2026-03-07-1-5-AddSaveNotificationsPlan:segment-006,commit,80b722ee0e77887149ebfd307538cac12a5907c3,work,1.0,211,292,83.48320413436693,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-07-1-5-AddSaveNotificationsPlan,transcript-2026-03-07-1-5-AddSaveNotificationsPlan:segment-007,commit,80b722ee0e77887149ebfd307538cac12a5907c3,work,1.0,293,304,12.217054263565892,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-07-1-5-AddSaveNotificationsPlan,transcript-2026-03-07-1-5-AddSaveNotificationsPlan:segment-008,commit,80b722ee0e77887149ebfd307538cac12a5907c3,work,1.0,305,380,77.374677002584,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-07-1-5-AddSaveNotificationsPlan,transcript-2026-03-07-1-5-AddSaveNotificationsPlan:segment-009,commit,80b722ee0e77887149ebfd307538cac12a5907c3,work,1.0,381,432,52.9405684754522,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-07-1-5-AddSaveNotificationsPlan,transcript-2026-03-07-1-5-AddSaveNotificationsPlan:segment-010,commit,80b722ee0e77887149ebfd307538cac12a5907c3,work,1.0,433,440,8.144702842377262,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-07-1-5-AddSaveNotificationsPlan,transcript-2026-03-07-1-5-AddSaveNotificationsPlan:segment-011,commit,80b722ee0e77887149ebfd307538cac12a5907c3,work,1.0,441,522,83.48320413436693,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
transcript-2026-03-07-1-5-AddSaveNotificationsPlan,transcript-2026-03-07-1-5-AddSaveNotificationsPlan:segment-012,commit,80b722ee0e77887149ebfd307538cac12a5907c3,work,1.0,523,542,20.361757105943155,,,,1.0,2.0,reviewed,,1.0,semantic match,False,True
