theme_id,entity_type,entity_id,relationship_type,evidence_source,confidence,allocation_weight
applescript,commit,1df3dd0c798507ee9db2c2005d577ac499b3e933,include,"alias: applescript, automation",0.9,0.0
applescript,commit,62b9a68e15a34d8c2919c736be910ce3a9eec8e4,include,"alias: applescript, apple event",0.9,0.0
applescript,commit,21aacef712ef78c44bd11f0a848276d3125a82a4,include,"alias: applescript, automation",0.9,0.0
applescript,commit,a3d4895796afa545efc1d3c39379220da2c616f3,include,alias: applescript,0.9,0.0
applescript,commit,7a19911399e2e3a8b7ff2d239319a658e793346c,include,"alias: applescript, automation",0.9,0.0
applescript,commit,477665910577c41766377204a1abfc8cc7f0dd6d,include,"alias: applescript, automation",0.9,0.0
applescript,commit,4eca36ce52399ef139926f5430d3cd08ac3c993a,include,alias: applescript,0.9,0.0
applescript,commit,716c54c01f81ac69fb1c6e5252727cbd5dd10310,include,keywords: script,0.53,0.0
applescript,commit,d07df1fefbd553b00635ee882631ee74d12f0530,include,keywords: script,0.53,0.0
applescript,commit,5b2392f98b7d9b0680edf4fdfb6966ed9a44d9bc,include,keywords: script,0.53,0.0
applescript,commit,d4616ef79d1f5f6f9afe47e139aa7a092e4b3085,include,explicit Theme include,1.0,0.0
applescript,commit,798de55dcbb0a4e26d499cec324224070b108b19,include,alias: applescript,0.9,0.0
applescript,commit,abe9194d5f3d791d34010e12ea51acb0054ae4ce,include,"alias: applescript, automation",0.9,0.0
applescript,commit,fdd51810b0f51c7b8ee798ecfa0eb42453627946,include,explicit Theme include,1.0,0.0
applescript,commit,d2843d58d7c77e0470d1b467eacf8a956665e2c9,include,"alias: applescript, automation, sdef, swifttag.sdef",0.9,0.0
applescript,commit,7228297fdfbf05a87af30e5330fdcdd1e908dd84,include,"alias: applescript, automation, sdef, swifttag.sdef",0.9,0.0
applescript,commit,88d09498e62eed6f088450eb0cf1ec3129a7ad34,include,"alias: applescript, automation, sdef, swifttag.sdef",0.9,0.0
applescript,commit,29444d740b06ee147a5690f1070d56abfa8be162,include,keywords: script,0.53,0.0
applescript,commit,e38ebba60c6454fd14c208d37ffb036038f231da,include,alias: applescript,0.9,0.0
applescript,plan,6,include,Plan topic: script,0.75,0.0
applescript,plan,25,include,Plan topic: script,0.75,0.0
applescript,plan,26,include,explicit Plan Theme include,1.0,0.0
diff,commit,e0cd7da70c303f9524054cf6e150d7fbfca3d9d1,include,alias: status,0.9,0.0
diff,commit,c56695645a5579bac37f1f716650754ccc5750a1,include,explicit Theme include,1.0,0.0
diff,commit,2d3e003b9689d477939ba8543f037de2cf8068c5,include,alias: status,0.9,0.0
diff,commit,ae13badc1a2a880e7b374fa67010992d398fa737,include,alias: status,0.9,0.0
diff,commit,94246bbd4bebc8a284577f2d68b82ff5db235599,include,alias: status,0.9,0.0
diff,commit,ac28a73112d2a5170ee56f4f05fe6081f4376eb6,include,explicit Theme include,1.0,0.0
diff,commit,32d8411d0d981716488a64b235fa1c25240b90ba,include,"alias: diff, diff tools",0.9,0.0
diff,commit,83083cbcdf9667c18e3a5c3c11c66d2cfa24f4a6,include,explicit Theme include,1.0,0.0
diff,commit,0d268f9dbda719319837ad31711eb87f9f166499,include,explicit Theme include,1.0,0.0
diff,commit,4f2a9e8f1b624f200c4d62747f38f83200dbaf88,include,alias: status,0.9,0.0
diff,commit,68f7c7b1c66c1a7acd0564610efe03ceff89180b,include,alias: status,0.9,0.0
diff,commit,9e1ce62bf296678be8aa16075285d1f9e0cb453c,include,alias: status,0.9,0.0
diff,commit,1e4ea8e60ed212c41a1f3f43a972ccad5855a07a,include,alias: status,0.9,0.0
diff,commit,68e340f508e0f0f5b0ac2fbbcae259abf6155b6e,include,explicit Theme include,1.0,0.0
diff,commit,b4593bad7a73d4737a89fa81f52b0a0c853f2bce,include,alias: status,0.9,0.0
diff,commit,f36a117c021f535e956e2d1722625465cd66b2f3,include,alias: status,0.9,0.0
diff,commit,ce82bfb0ed6ae71f4fa52b159af692e3b74fe2c7,include,alias: status,0.9,0.0
